index,i_h2_inj_kg_thm,i_pul_coal_inj_kg_thm,i_nat_gas_inj_kg_thm,i_nat_gas_t_k,i_o2_vol_perce,i_hot_blast_temp_k,i_ore_moisture_weight_perce,i_ore_weight_kg,o_tuyere_exit_velo_m_s,o_raceway_flame_temp_k,o_raceway_coal_burn_perce,o_raceway_volume_m,o_shaft_co_utiliz,o_shaft_h2_utiliz,o_shaft_top_gas_temp_c,o_shaft_press_drop_pa,o_shaft_coke_rate_kg_thm,o_shaft_cohesive_zone_tip_height_m,o_shaft_co_v_perc,o_shaft_co2_v_perc,o_shaft_h2_v_perce,o_shaft_n2_v_perc
24,0,0,0.1895,1,0.9,0.983041751,0.777777778,0.649070353,133.1415,2490.876,100,0.1965359,47.74555,44.27723,74.227,112697.45,37.89595,31.67963,0.2523333,0.2305601,0.037631232,0.4794752
25,0,0,0.35,0.8,0.7,0.983041751,0.777777778,0.676050126,135.9861,2059.779,100,0.1965359,47.28318,42.07529,125.3711,109483.05,-42.5301,31.75963,0.2095106,0.1879159,0.070884988,0.5316886
26,0,0,0.35,1,0.7,0.983041751,0.777777778,0.676050126,137.1573,2067.327,100,0.1965359,48.05716,42.38463,119.7239,109999.08,-46.8905,31.75963,0.2067884,0.1913192,0.070458367,0.5314341
27,0,0,0.45,0.8,0.7,0.983041751,0.777777778,0.708645128,138.5169,1972.937,100,0.1965359,46.26226,40.75574,135.9927,118962.3,-67.29425,31.75963,0.2078931,0.178973,0.087893724,0.5252402
28,0,0,0.45,1,0.7,0.983041751,0.777777778,0.708645128,140.9279,1983.98,100,0.1965359,47.06921,41.00563,132.3464,126370.9,-67.99465,31.75963,0.2062871,0.1834428,0.087574579,0.5226955
29,0,0,0.6,0.8,0.7,0.983041751,0.777777778,0.757537631,143.70426,1865.015,100,0.1965359,44.86824,39.24368,149.88,138866,-93.8004,25.64599,0.2087265,0.1698692,0.112563,0.5088414
30,0,0,0.6,1,0.7,0.983041751,0.777777778,0.757537631,148.56894,1871.826,100,0.1965359,45.9585,39.61132,145.7802,139437.5,-97.07525,26.20536,0.2052816,0.1745775,0.1117525,0.5083883
31,0,0,0.6,0.8,0.9,0.983041751,0.777777778,0.782872838,144.69981,2080.228,100,0.1965359,48.91765,41.95866,112.1872,128572.6,-57.20845,31.75963,0.2209856,0.2116209,0.1008073,0.4665863
32,0,0,0.6,1,0.9,0.983041751,0.777777778,0.782872838,148.50858,2093.657,100,0.1965359,49.24596,42.13792,108.1313,127009.6,-61.4831,31.75963,0.2195589,0.213035,0.1003791,0.4670269
33,0,0,0.75,0.8,0.7,0.983041751,0.777777778,0.806430135,150.96657,1804.695,100,0.1965359,42.9208,37.68441,171.9114,180963.7,-119.08665,25.00671,0.210754,0.1584768,0.1368949,0.4938743
34,0,0,0.75,1,0.7,0.983041751,0.777777778,0.806430135,157.34734,1805.758,100,0.1965359,44.00945,38.02061,166.8636,151552.5,-123.77705,23.64823,0.2068704,0.1626034,0.136464,0.4940622
35,0,0,0.75,0.8,0.9,0.983041751,0.777777778,0.831765341,152.85895,1965.001,100,0.1965359,46.52786,42.51314,184.0292,132072.8,-81.8418,27.72392,0.2305425,0.2006025,0.1146055,0.4542494
36,0,0,0.75,1,0.9,0.983041751,0.777777778,0.831765341,159.31673,1976.347,100,0.1965359,47.23713,42.98673,179.5061,132393.4,-83.8334,27.72392,0.2277892,0.2039333,0.1137488,0.4545287
37,0,0.45,0,0.6,0.7,0.983041751,0.777777778,0.70077788,129.75002,2240.644,85.78296949,0.2167488,47.01626,45.13567,130.8358,117668.3,-32.5866,31.80024,0.2259176,0.2004728,0.026408767,0.5472009
38,0,0.45,0,0.6,0.8,0.983041751,0.777777778,0.713445483,129.151,2390.72,88.77137514,0.2167488,48.67769,46.5448,107.6284,124472,-11.1537,31.80024,0.235354,0.2232263,0.025025805,0.5163939
39,0,0.45,0,0.6,0.9,0.983041751,0.777777778,0.726113086,128.62132,2532.331,92.54781695,0.2167488,46.0209,44.33973,86.2782,138261.1,19.67535,31.80024,0.2664412,0.2271594,0.024288911,0.4821104
40,0,0.45,0,0.6,1,0.983041751,0.777777778,0.738780689,128.08969,2664.389,96.52813706,0.2167488,48.89884,48.857,71.4663,151176.9,23.95685,31.72024,0.2630597,0.2517225,0.021699283,0.4635185
41,0,0.62,0,0.6,0.7,0.983041751,0.777777778,0.751151974,129.80739,2199.095,83.81440451,0.2167488,44.64918,43.6661,144.8963,126832,-55.91495,31.88024,0.2366369,0.190885,0.032402981,0.5400752
42,0,0.62,0,0.6,0.8,0.983041751,0.777777778,0.763819577,129.21054,2344.956,86.5098168,0.2167488,47.46665,45.50036,120.7724,134576.3,-36.71785,31.80024,0.2399978,0.2168507,0.030583527,0.5125681
43,0,0.62,0,0.6,0.9,0.983041751,0.777777778,0.77648718,128.67992,2483.58,89.57585369,0.2167488,47.47755,45.43287,99.5985,144957,-12.40835,31.80024,0.2561986,0.2315902,0.028908134,0.4833031
44,0,0.62,0,0.6,1,0.983041751,0.777777778,0.789154783,128.15402,2617.021,93.20249098,0.2167488,49.33584,48.15486,81.6096,160017,-1.53475,31.80024,0.2589596,0.2521702,0.026372114,0.4624981
45,0,0.75,0,0.6,0.7,0.983041751,0.777777778,0.78967334,129.83924,2175.781,83.18861492,0.2167488,44.08173,43.3766,155.5534,133151,-74.7581,31.88024,0.2397275,0.188983,0.036394734,0.5348948
46,0,0.75,0,0.6,0.8,0.983041751,0.777777778,0.802340943,129.24333,2314.18,85.22578542,0.2167488,44.30205,43.69616,129.0363,146217.9,-47.57315,31.80024,0.2560679,0.203676,0.035074402,0.5051816
47,0,0.75,0,0.6,0.9,0.983041751,0.777777778,0.815008547,128.71231,2449.927,87.87174034,0.2167488,45.1823,44.31911,108.0581,153344.2,-24.3167,31.80024,0.2680857,0.2209638,0.033176001,0.4777746
48,0,0.75,0,0.6,1,0.983041751,0.777777778,0.82767615,128.18655,2583.367,91.0779078,0.2167488,49.5073,48.3239,86.791,169596.5,-20.75835,31.80024,0.2569755,0.2519604,0.029602489,0.4614616
49,0,0.19,0,0.6,0.7,0.983041751,0.777777778,0.623735147,129.69935,2317.71,91.81126079,0.2167488,46.10513,44.43963,111.3715,112451.3,17.5809,31.83963,0.2321184,0.1985689,0.018203408,0.5511092
50,0,0.19,0,0.6,0.8,0.983041751,0.777777778,0.63640275,129.10247,2475.494,95.3699352,0.2167488,46.66386,44.95601,88.2101,119531.6,43.05895,31.75963,0.250072,0.2187883,0.017269587,0.5138701
51,0,0.19,0,0.6,0.9,0.983041751,0.777777778,0.649070353,128.57206,2617.309,98.52781583,0.2167488,46.65558,43.13493,77.2359,119367.6,57.40195,31.75963,0.264849,0.2316396,0.016497796,0.4870136
52,0,0.19,0,0.6,1,0.983041751,0.777777778,0.661737957,128.04027,2747.105,99.90070261,0.2167488,45.10028,46.38947,60.8438,121061.5,77.46945,31.1598,0.2885154,0.2370163,0.015827062,0.4586413
53,0,0.35,0,0.6,0.7,0.983041751,0.777777778,0.67114606,129.71218,2267.999,87.44451884,0.2167488,47.27618,45.52772,121.3924,119627.5,-12.89795,31.80024,0.226308,0.2029249,0.023064489,0.5477026
54,0,0.35,0,0.6,0.8,0.983041751,0.777777778,0.683813663,129.11511,2421.046,90.83092319,0.2167488,46.38824,45.37953,97.2109,128116,13.3921,31.80024,0.2488087,0.2152848,0.022347128,0.5135592
55,0,0.35,0,0.6,0.9,0.983041751,0.777777778,0.696481266,128.58289,2563.45,94.9968008,0.2167488,48.39765,46.73001,77.7947,129639.2,27.2776,31.76024,0.2539447,0.2381738,0.020805389,0.4870761
56,0,0.35,0,0.6,1,0.983041751,0.777777778,0.709148869,128.05579,2695.281,98.94813246,0.2167488,43.01008,44.43216,63.3705,136823.6,61.38295,31.40023,0.2996037,0.2261097,0.020808553,0.4534781
57,0,0.875,0,0.6,0.7,0.983041751,0.777777778,0.826713116,129.85136,2156.464,82.61378547,0.2167488,42.87153,42.61118,164.7245,148305,-92.0169,31.88024,0.2453314,0.1841067,0.040609412,0.5299524
58,0,0.875,0,0.6,0.8,0.983041751,0.777777778,0.839380719,129.25531,2290.989,84.44623198,0.2167488,45.65915,44.41777,139.8777,148986.1,-71.3492,31.88024,0.2481098,0.2084708,0.038214311,0.5052052
59,0,0.875,0,0.6,0.9,0.983041751,0.777777778,0.852048322,128.72423,2422.06,86.70210727,0.2167488,44.99011,44.40483,118.419,162713.5,-42.7298,31.80024,0.2679633,0.2191551,0.036735453,0.4761462
60,0,0.875,0,0.6,1,0.983041751,0.777777778,0.864715925,128.19808,2553.208,89.55351279,0.2167488,47.38099,45.36137,101.5806,170889.4,-28.8446,31.88024,0.2685705,0.2418353,0.034127671,0.4554666
61,0,1,0,0.6,0.7,0.983041751,0.777777778,0.863752891,129.84276,2142.002,82.22164106,0.2167488,41.99036,42.02245,176.4621,153053.1,-110.75915,31.88024,0.248891,0.18016,0.044680856,0.5262681
62,0,1,0,0.6,0.8,0.983041751,0.777777778,0.876420494,129.2476,2269.609,83.82781837,0.2167488,45.46189,44.22613,149.6374,153250.5,-90.2807,31.88024,0.2483361,0.207008,0.041907083,0.5027487
