,0,1,2,3,4,5,6,7,8,9
0,150.0,0.0,0.0,0.0,500.0,24.0,8.0,1459.8,12.2,308750.4
1,120.0,0.0,0.0,0.0,500.0,30.0,3.0,1459.8,12.2,308750.4
2,0.0,70.0,0.0,0.0,300.0,27.0,5.0,1459.8,12.2,308750.4
3,0.0,150.0,0.0,0.0,300.0,30.0,9.0,1459.8,12.2,308750.4
4,150.0,0.0,0.0,0.0,300.0,30.0,6.0,1459.8,12.2,308750.4
5,70.0,0.0,0.0,0.0,500.0,24.0,6.0,1459.8,12.2,308750.4
6,120.0,0.0,0.0,0.0,500.0,24.0,3.0,1459.8,12.2,308750.4
7,120.0,0.0,0.0,0.0,400.0,24.0,4.0,1459.8,12.2,308750.4
8,150.0,0.0,0.0,0.0,300.0,27.0,5.0,1485.0,12.2,308750.4
9,150.0,0.0,0.0,0.0,300.0,27.0,3.0,1485.0,12.2,308750.4
10,120.0,0.0,0.0,0.0,300.0,21.0,5.0,1459.8,12.2,308750.4
11,90.0,0.0,0.0,0.0,300.0,21.0,5.0,1410.0,12.2,308750.4
12,0.0,200.0,0.0,0.0,300.0,21.0,4.0,1459.8,12.2,308750.4
13,70.0,0.0,0.0,0.0,300.0,27.0,5.0,1485.0,12.2,308750.4
14,90.0,0.0,0.0,0.0,500.0,24.0,6.0,1459.8,12.2,308750.4
15,0.0,200.0,0.0,0.0,300.0,24.0,6.0,1459.8,12.2,308750.4
16,70.0,0.0,0.0,0.0,300.0,21.0,6.0,1410.0,12.2,308750.4
17,150.0,0.0,0.0,0.0,300.0,24.0,9.0,1459.8,12.2,308750.4
18,120.0,0.0,0.0,0.0,300.0,24.0,3.0,1410.0,12.2,308750.4
19,0.0,38.0,0.0,0.0,300.0,27.0,5.0,1459.8,12.2,308750.4
20,0.0,90.0,0.0,0.0,300.0,21.0,9.0,1459.8,12.2,308750.4
21,70.0,0.0,0.0,0.0,300.0,24.0,6.0,1410.0,12.2,308750.4
22,0.0,150.0,0.0,0.0,300.0,24.0,5.0,1459.8,12.2,308750.4
23,90.0,0.0,0.0,0.0,300.0,24.0,4.0,1459.8,12.2,308750.4
24,0.0,38.0,0.0,0.0,300.0,21.0,7.0,1459.8,12.2,308750.4
25,120.0,80.0,0.0,0.0,300.0,27.0,6.0,1459.8,12.2,308750.4
26,200.0,50.0,0.0,0.0,300.0,30.0,3.0,1459.8,12.2,308750.4
27,70.0,0.0,0.0,0.0,300.0,24.0,6.0,1485.0,12.2,308750.4
28,150.0,0.0,0.0,0.0,400.0,24.0,9.0,1459.8,12.2,308750.4
29,0.0,70.0,0.0,0.0,300.0,21.0,5.0,1459.8,12.2,308750.4
30,150.0,0.0,0.0,0.0,300.0,24.0,5.0,1410.0,12.2,308750.4
31,0.0,175.0,0.0,0.0,300.0,30.0,9.0,1459.8,12.2,308750.4
32,90.0,0.0,0.0,0.0,300.0,30.0,8.0,1410.0,12.2,308750.4
33,150.0,0.0,0.0,0.0,300.0,24.0,6.0,1485.0,12.2,308750.4
34,70.0,0.0,0.0,0.0,300.0,27.0,8.0,1485.0,12.2,308750.4
35,0.0,90.0,0.0,0.0,300.0,30.0,6.0,1459.8,12.2,308750.4
36,37.9,0.0,0.0,0.0,300.0,21.0,8.0,1459.8,12.2,308750.4
37,0.0,38.0,0.0,0.0,300.0,24.0,3.0,1459.8,12.2,308750.4
38,90.0,0.0,0.0,0.0,300.0,30.0,4.0,1410.0,12.2,308750.4
39,37.9,0.0,0.0,0.0,400.0,27.0,4.0,1459.8,12.2,308750.4
40,37.9,0.0,0.0,0.0,500.0,21.0,6.0,1459.8,12.2,308750.4
41,0.0,175.0,0.0,0.0,300.0,24.0,8.0,1459.8,12.2,308750.4
42,120.0,30.0,0.0,0.0,300.0,25.0,9.0,1459.8,12.2,308750.4
43,38.0,0.0,0.0,0.0,300.0,24.0,4.0,1410.0,12.2,308750.4
44,120.0,0.0,0.0,0.0,300.0,27.0,6.0,1485.0,12.2,308750.4
45,0.0,90.0,0.0,0.0,300.0,21.0,5.0,1459.8,12.2,308750.4
46,70.0,0.0,0.0,0.0,300.0,27.0,3.0,1410.0,12.2,308750.4
47,10.0,40.0,0.0,0.0,300.0,21.0,5.0,1459.8,12.2,308750.4
48,40.0,60.0,0.0,0.0,300.0,23.0,4.0,1459.8,12.2,308750.4
49,38.0,0.0,0.0,0.0,300.0,24.0,5.0,1485.0,12.2,308750.4
50,0.0,38.0,0.0,0.0,300.0,27.0,7.0,1459.8,12.2,308750.4
51,10.0,40.0,0.0,0.0,300.0,21.0,9.0,1459.8,12.2,308750.4
52,0.0,90.0,0.0,0.0,300.0,24.0,3.0,1459.8,12.2,308750.4
53,90.0,0.0,0.0,0.0,300.0,27.0,7.0,1485.0,12.2,308750.4
54,120.0,0.0,0.0,0.0,300.0,24.0,9.0,1410.0,12.2,308750.4
55,10.0,40.0,0.0,0.0,300.0,21.0,6.0,1459.8,12.2,308750.4
56,0.0,38.0,0.0,0.0,300.0,27.0,3.0,1459.8,12.2,308750.4
57,37.9,0.0,0.0,0.0,400.0,21.0,4.0,1459.8,12.2,308750.4
58,150.0,0.0,0.0,0.0,300.0,24.0,8.0,1485.0,12.2,308750.4
59,37.9,0.0,0.0,0.0,400.0,21.0,5.0,1459.8,12.2,308750.4
60,0.0,175.0,0.0,0.0,300.0,30.0,8.0,1459.8,12.2,308750.4
61,70.0,0.0,0.0,0.0,300.0,27.0,3.0,1485.0,12.2,308750.4
62,160.0,40.0,0.0,0.0,300.0,27.0,9.0,1459.8,12.2,308750.4
63,120.0,0.0,0.0,0.0,300.0,24.0,4.0,1459.8,12.2,308750.4
64,90.0,0.0,0.0,0.0,300.0,21.0,7.0,1485.0,12.2,308750.4
65,0.0,70.0,0.0,0.0,300.0,30.0,3.0,1459.8,12.2,308750.4
66,70.0,0.0,0.0,0.0,400.0,30.0,6.0,1459.8,12.2,308750.4
67,70.0,0.0,0.0,0.0,300.0,30.0,7.0,1459.8,12.2,308750.4
68,0.0,200.0,0.0,0.0,300.0,24.0,8.0,1459.8,12.2,308750.4
69,90.0,0.0,0.0,0.0,300.0,21.0,5.0,1459.8,12.2,308750.4
70,150.0,0.0,0.0,0.0,300.0,30.0,4.0,1459.8,12.2,308750.4
71,0.0,38.0,0.0,0.0,300.0,30.0,3.0,1459.8,12.2,308750.4
72,38.0,0.0,0.0,0.0,300.0,27.0,6.0,1410.0,12.2,308750.4
73,150.0,0.0,0.0,0.0,300.0,27.0,7.0,1485.0,12.2,308750.4
74,70.0,0.0,0.0,0.0,300.0,21.0,8.0,1485.0,12.2,308750.4
75,0.0,90.0,0.0,0.0,300.0,24.0,8.0,1459.8,12.2,308750.4
76,90.0,0.0,0.0,0.0,300.0,24.0,6.0,1485.0,12.2,308750.4
77,0.0,38.0,0.0,0.0,300.0,21.0,4.0,1459.8,12.2,308750.4
78,60.0,90.0,0.0,0.0,300.0,25.0,6.0,1459.8,12.2,308750.4
79,90.0,0.0,0.0,0.0,300.0,27.0,5.0,1410.0,12.2,308750.4
80,37.9,0.0,0.0,0.0,500.0,21.0,4.0,1459.8,12.2,308750.4
81,0.0,150.0,0.0,0.0,300.0,24.0,6.0,1459.8,12.2,308750.4
82,40.0,160.0,0.0,0.0,300.0,27.0,6.0,1459.8,12.2,308750.4
83,38.0,0.0,0.0,0.0,300.0,21.0,9.0,1410.0,12.2,308750.4
84,37.9,0.0,0.0,0.0,300.0,30.0,4.0,1459.8,12.2,308750.4
85,90.0,0.0,0.0,0.0,300.0,24.0,5.0,1410.0,12.2,308750.4
86,90.0,0.0,0.0,0.0,300.0,27.0,3.0,1410.0,12.2,308750.4
87,90.0,0.0,0.0,0.0,300.0,24.0,9.0,1410.0,12.2,308750.4
88,70.0,0.0,0.0,0.0,300.0,21.0,5.0,1410.0,12.2,308750.4
89,0.0,124.0,0.0,0.0,300.0,21.0,7.0,1459.8,12.2,308750.4
90,90.0,0.0,0.0,0.0,400.0,24.0,9.0,1459.8,12.2,308750.4
91,70.0,0.0,0.0,0.0,300.0,30.0,3.0,1459.8,12.2,308750.4
92,120.0,0.0,0.0,0.0,300.0,27.0,3.0,1410.0,12.2,308750.4
93,37.9,0.0,0.0,0.0,400.0,30.0,8.0,1459.8,12.2,308750.4
94,120.0,0.0,0.0,0.0,300.0,27.0,9.0,1459.8,12.2,308750.4
95,120.0,0.0,0.0,0.0,300.0,30.0,6.0,1410.0,12.2,308750.4
96,150.0,0.0,0.0,0.0,500.0,27.0,7.0,1459.8,12.2,308750.4
97,90.0,0.0,0.0,0.0,400.0,30.0,6.0,1459.8,12.2,308750.4
98,0.0,90.0,0.0,0.0,300.0,21.0,6.0,1459.8,12.2,308750.4
99,120.0,0.0,0.0,0.0,300.0,27.0,7.0,1459.8,12.2,308750.4
100,0.0,70.0,0.0,0.0,300.0,24.0,3.0,1459.8,12.2,308750.4
101,37.9,0.0,0.0,0.0,300.0,21.0,3.0,1459.8,12.2,308750.4
102,160.0,40.0,0.0,0.0,300.0,27.0,3.0,1459.8,12.2,308750.4
103,150.0,0.0,0.0,0.0,500.0,21.0,7.0,1459.8,12.2,308750.4
104,120.0,0.0,0.0,0.0,300.0,24.0,3.0,1459.8,12.2,308750.4
105,0.0,150.0,0.0,0.0,300.0,30.0,5.0,1459.8,12.2,308750.4
106,80.0,20.0,0.0,0.0,300.0,23.0,6.0,1459.8,12.2,308750.4
107,90.0,0.0,0.0,0.0,300.0,24.0,8.0,1410.0,12.2,308750.4
108,120.0,30.0,0.0,0.0,300.0,25.0,3.0,1459.8,12.2,308750.4
109,0.0,90.0,0.0,0.0,300.0,27.0,5.0,1459.8,12.2,308750.4
110,0.0,175.0,0.0,0.0,300.0,24.0,6.0,1459.8,12.2,308750.4
111,90.0,0.0,0.0,0.0,300.0,27.0,8.0,1485.0,12.2,308750.4
112,0.0,38.0,0.0,0.0,300.0,24.0,8.0,1459.8,12.2,308750.4
113,0.0,200.0,0.0,0.0,300.0,27.0,5.0,1459.8,12.2,308750.4
114,0.0,150.0,0.0,0.0,300.0,21.0,5.0,1459.8,12.2,308750.4
115,120.0,0.0,0.0,0.0,300.0,27.0,7.0,1485.0,12.2,308750.4
116,30.0,20.0,0.0,0.0,300.0,21.0,6.0,1459.8,12.2,308750.4
117,0.0,38.0,0.0,0.0,300.0,21.0,5.0,1459.8,12.2,308750.4
118,150.0,0.0,0.0,0.0,500.0,30.0,5.0,1459.8,12.2,308750.4
119,200.0,50.0,0.0,0.0,300.0,30.0,9.0,1459.8,12.2,308750.4
120,150.0,0.0,0.0,0.0,500.0,30.0,8.0,1459.8,12.2,308750.4
121,50.0,200.0,0.0,0.0,300.0,30.0,6.0,1459.8,12.2,308750.4
122,37.9,0.0,0.0,0.0,500.0,24.0,3.0,1459.8,12.2,308750.4
123,100.0,150.0,0.0,0.0,300.0,30.0,3.0,1459.8,12.2,308750.4
124,200.0,50.0,0.0,0.0,300.0,30.0,8.0,1459.8,12.2,308750.4
125,38.0,0.0,0.0,0.0,300.0,24.0,7.0,1485.0,12.2,308750.4
126,0.0,124.0,0.0,0.0,300.0,30.0,4.0,1459.8,12.2,308750.4
127,90.0,0.0,0.0,0.0,300.0,27.0,5.0,1459.8,12.2,308750.4
128,80.0,120.0,0.0,0.0,300.0,27.0,5.0,1459.8,12.2,308750.4
129,90.0,0.0,0.0,0.0,500.0,30.0,5.0,1459.8,12.2,308750.4
130,37.9,0.0,0.0,0.0,400.0,21.0,7.0,1459.8,12.2,308750.4
131,60.0,40.0,0.0,0.0,300.0,23.0,5.0,1459.8,12.2,308750.4
132,40.0,10.0,0.0,0.0,300.0,21.0,8.0,1459.8,12.2,308750.4
133,90.0,0.0,0.0,0.0,400.0,30.0,3.0,1459.8,12.2,308750.4
134,0.0,38.0,0.0,0.0,300.0,30.0,9.0,1459.8,12.2,308750.4
135,38.0,0.0,0.0,0.0,300.0,27.0,6.0,1485.0,12.2,308750.4
136,0.0,90.0,0.0,0.0,300.0,30.0,8.0,1459.8,12.2,308750.4
137,150.0,0.0,0.0,0.0,400.0,30.0,4.0,1459.8,12.2,308750.4
138,90.0,0.0,0.0,0.0,300.0,21.0,4.0,1459.8,12.2,308750.4
139,37.9,0.0,0.0,0.0,400.0,30.0,6.0,1459.8,12.2,308750.4
140,70.0,0.0,0.0,0.0,300.0,21.0,9.0,1410.0,12.2,308750.4
141,37.9,0.0,0.0,0.0,400.0,24.0,8.0,1459.8,12.2,308750.4
142,120.0,0.0,0.0,0.0,300.0,30.0,4.0,1459.8,12.2,308750.4
143,0.0,200.0,0.0,0.0,300.0,30.0,7.0,1459.8,12.2,308750.4
144,37.9,0.0,0.0,0.0,300.0,30.0,3.0,1459.8,12.2,308750.4
145,120.0,30.0,0.0,0.0,300.0,25.0,4.0,1459.8,12.2,308750.4
146,38.0,0.0,0.0,0.0,300.0,24.0,4.0,1485.0,12.2,308750.4
147,0.0,90.0,0.0,0.0,300.0,30.0,4.0,1459.8,12.2,308750.4
148,0.0,124.0,0.0,0.0,300.0,21.0,3.0,1459.8,12.2,308750.4
149,80.0,20.0,0.0,0.0,300.0,23.0,3.0,1459.8,12.2,308750.4
150,38.0,0.0,0.0,0.0,300.0,21.0,7.0,1410.0,12.2,308750.4
151,0.0,175.0,0.0,0.0,300.0,27.0,7.0,1459.8,12.2,308750.4
152,37.9,0.0,0.0,0.0,300.0,27.0,6.0,1459.8,12.2,308750.4
153,90.0,0.0,0.0,0.0,300.0,27.0,4.0,1459.8,12.2,308750.4
154,0.0,38.0,0.0,0.0,300.0,21.0,9.0,1459.8,12.2,308750.4
155,120.0,0.0,0.0,0.0,500.0,30.0,9.0,1459.8,12.2,308750.4
156,70.0,0.0,0.0,0.0,300.0,21.0,7.0,1459.8,12.2,308750.4
157,90.0,0.0,0.0,0.0,300.0,27.0,7.0,1459.8,12.2,308750.4
158,90.0,0.0,0.0,0.0,300.0,24.0,4.0,1485.0,12.2,308750.4
159,150.0,0.0,0.0,0.0,300.0,27.0,4.0,1459.8,12.2,308750.4
160,20.0,80.0,0.0,0.0,300.0,23.0,9.0,1459.8,12.2,308750.4
161,70.0,0.0,0.0,0.0,300.0,27.0,7.0,1485.0,12.2,308750.4
162,70.0,0.0,0.0,0.0,400.0,21.0,7.0,1459.8,12.2,308750.4
163,37.9,0.0,0.0,0.0,300.0,27.0,5.0,1459.8,12.2,308750.4
164,70.0,0.0,0.0,0.0,500.0,30.0,8.0,1459.8,12.2,308750.4
165,160.0,40.0,0.0,0.0,300.0,27.0,8.0,1459.8,12.2,308750.4
166,0.0,38.0,0.0,0.0,300.0,27.0,8.0,1459.8,12.2,308750.4
167,150.0,0.0,0.0,0.0,300.0,30.0,3.0,1459.8,12.2,308750.4
168,90.0,0.0,0.0,0.0,300.0,30.0,9.0,1485.0,12.2,308750.4
169,120.0,0.0,0.0,0.0,300.0,30.0,5.0,1459.8,12.2,308750.4
170,0.0,175.0,0.0,0.0,300.0,30.0,5.0,1459.8,12.2,308750.4
171,150.0,0.0,0.0,0.0,400.0,27.0,7.0,1459.8,12.2,308750.4
172,150.0,0.0,0.0,0.0,300.0,30.0,9.0,1459.8,12.2,308750.4
173,150.0,0.0,0.0,0.0,300.0,27.0,4.0,1485.0,12.2,308750.4
174,38.0,0.0,0.0,0.0,300.0,21.0,5.0,1485.0,12.2,308750.4
175,150.0,0.0,0.0,0.0,400.0,30.0,6.0,1459.8,12.2,308750.4
176,0.0,150.0,0.0,0.0,300.0,30.0,8.0,1459.8,12.2,308750.4
177,120.0,0.0,0.0,0.0,300.0,27.0,4.0,1485.0,12.2,308750.4
178,0.0,150.0,0.0,0.0,300.0,24.0,3.0,1459.8,12.2,308750.4
179,38.0,0.0,0.0,0.0,300.0,21.0,7.0,1485.0,12.2,308750.4
180,90.0,0.0,0.0,0.0,300.0,24.0,3.0,1485.0,12.2,308750.4
181,60.0,90.0,0.0,0.0,300.0,25.0,8.0,1459.8,12.2,308750.4
182,90.0,0.0,0.0,0.0,400.0,30.0,5.0,1459.8,12.2,308750.4
183,37.9,0.0,0.0,0.0,300.0,30.0,9.0,1459.8,12.2,308750.4
184,37.9,0.0,0.0,0.0,300.0,27.0,3.0,1459.8,12.2,308750.4
185,0.0,70.0,0.0,0.0,300.0,27.0,9.0,1459.8,12.2,308750.4
186,0.0,124.0,0.0,0.0,300.0,24.0,9.0,1459.8,12.2,308750.4
187,120.0,0.0,0.0,0.0,300.0,30.0,4.0,1485.0,12.2,308750.4
188,150.0,0.0,0.0,0.0,500.0,24.0,5.0,1459.8,12.2,308750.4
189,120.0,0.0,0.0,0.0,400.0,24.0,8.0,1459.8,12.2,308750.4
190,0.0,175.0,0.0,0.0,300.0,21.0,4.0,1459.8,12.2,308750.4
191,0.0,38.0,0.0,0.0,300.0,24.0,6.0,1459.8,12.2,308750.4
192,40.0,60.0,0.0,0.0,300.0,23.0,3.0,1459.8,12.2,308750.4
193,0.0,90.0,0.0,0.0,300.0,24.0,7.0,1459.8,12.2,308750.4
194,0.0,90.0,0.0,0.0,300.0,24.0,9.0,1459.8,12.2,308750.4
195,120.0,0.0,0.0,0.0,500.0,30.0,6.0,1459.8,12.2,308750.4
196,150.0,100.0,0.0,0.0,300.0,30.0,8.0,1459.8,12.2,308750.4
197,0.0,70.0,0.0,0.0,300.0,24.0,5.0,1459.8,12.2,308750.4
198,0.0,70.0,0.0,0.0,300.0,27.0,4.0,1459.8,12.2,308750.4
199,200.0,50.0,0.0,0.0,300.0,30.0,6.0,1459.8,12.2,308750.4
200,150.0,0.0,0.0,0.0,300.0,21.0,3.0,1459.8,12.2,308750.4
201,0.0,38.0,0.0,0.0,300.0,27.0,4.0,1459.8,12.2,308750.4
202,120.0,0.0,0.0,0.0,300.0,24.0,6.0,1410.0,12.2,308750.4
203,120.0,0.0,0.0,0.0,300.0,27.0,6.0,1410.0,12.2,308750.4
204,70.0,0.0,0.0,0.0,300.0,30.0,8.0,1459.8,12.2,308750.4
205,30.0,20.0,0.0,0.0,300.0,21.0,3.0,1459.8,12.2,308750.4
206,120.0,30.0,0.0,0.0,300.0,25.0,5.0,1459.8,12.2,308750.4
207,0.0,150.0,0.0,0.0,300.0,24.0,8.0,1459.8,12.2,308750.4
208,38.0,0.0,0.0,0.0,300.0,21.0,8.0,1485.0,12.2,308750.4
209,38.0,0.0,0.0,0.0,300.0,27.0,8.0,1410.0,12.2,308750.4
210,0.0,90.0,0.0,0.0,300.0,27.0,7.0,1459.8,12.2,308750.4
211,37.9,0.0,0.0,0.0,300.0,27.0,9.0,1459.8,12.2,308750.4
212,160.0,40.0,0.0,0.0,300.0,27.0,5.0,1459.8,12.2,308750.4
213,70.0,0.0,0.0,0.0,300.0,30.0,4.0,1459.8,12.2,308750.4
214,160.0,40.0,0.0,0.0,300.0,27.0,6.0,1459.8,12.2,308750.4
215,150.0,0.0,0.0,0.0,300.0,30.0,4.0,1410.0,12.2,308750.4
216,120.0,0.0,0.0,0.0,300.0,21.0,8.0,1459.8,12.2,308750.4
217,70.0,0.0,0.0,0.0,300.0,21.0,9.0,1459.8,12.2,308750.4
218,120.0,0.0,0.0,0.0,300.0,27.0,4.0,1410.0,12.2,308750.4
219,0.0,175.0,0.0,0.0,300.0,21.0,3.0,1459.8,12.2,308750.4
220,10.0,40.0,0.0,0.0,300.0,21.0,3.0,1459.8,12.2,308750.4
221,80.0,20.0,0.0,0.0,300.0,23.0,8.0,1459.8,12.2,308750.4
222,150.0,0.0,0.0,0.0,300.0,21.0,7.0,1459.8,12.2,308750.4
223,0.0,124.0,0.0,0.0,300.0,24.0,5.0,1459.8,12.2,308750.4
224,150.0,0.0,0.0,0.0,500.0,24.0,6.0,1459.8,12.2,308750.4
225,0.0,200.0,0.0,0.0,300.0,21.0,8.0,1459.8,12.2,308750.4
226,120.0,0.0,0.0,0.0,300.0,27.0,7.0,1410.0,12.2,308750.4
227,90.0,0.0,0.0,0.0,300.0,30.0,3.0,1410.0,12.2,308750.4
228,0.0,200.0,0.0,0.0,300.0,27.0,6.0,1459.8,12.2,308750.4
229,90.0,0.0,0.0,0.0,400.0,30.0,8.0,1459.8,12.2,308750.4
230,40.0,60.0,0.0,0.0,300.0,23.0,9.0,1459.8,12.2,308750.4
231,30.0,120.0,0.0,0.0,300.0,25.0,6.0,1459.8,12.2,308750.4
232,38.0,0.0,0.0,0.0,300.0,24.0,9.0,1485.0,12.2,308750.4
233,70.0,0.0,0.0,0.0,300.0,24.0,6.0,1459.8,12.2,308750.4
234,150.0,0.0,0.0,0.0,300.0,27.0,7.0,1410.0,12.2,308750.4
235,70.0,0.0,0.0,0.0,300.0,24.0,4.0,1410.0,12.2,308750.4
236,0.0,38.0,0.0,0.0,300.0,27.0,6.0,1459.8,12.2,308750.4
237,37.9,0.0,0.0,0.0,400.0,30.0,9.0,1459.8,12.2,308750.4
238,80.0,20.0,0.0,0.0,300.0,23.0,5.0,1459.8,12.2,308750.4
239,0.0,124.0,0.0,0.0,300.0,27.0,4.0,1459.8,12.2,308750.4
240,120.0,80.0,0.0,0.0,300.0,27.0,3.0,1459.8,12.2,308750.4
241,0.0,90.0,0.0,0.0,300.0,30.0,9.0,1459.8,12.2,308750.4
242,37.9,0.0,0.0,0.0,500.0,27.0,7.0,1459.8,12.2,308750.4
243,150.0,100.0,0.0,0.0,300.0,30.0,5.0,1459.8,12.2,308750.4
244,200.0,50.0,0.0,0.0,300.0,30.0,5.0,1459.8,12.2,308750.4
245,120.0,0.0,0.0,0.0,300.0,27.0,5.0,1459.8,12.2,308750.4
246,150.0,0.0,0.0,0.0,400.0,24.0,8.0,1459.8,12.2,308750.4
247,120.0,0.0,0.0,0.0,300.0,24.0,5.0,1410.0,12.2,308750.4
248,120.0,0.0,0.0,0.0,300.0,30.0,9.0,1485.0,12.2,308750.4
249,0.0,38.0,0.0,0.0,300.0,24.0,9.0,1459.8,12.2,308750.4
250,70.0,0.0,0.0,0.0,300.0,27.0,9.0,1410.0,12.2,308750.4
251,150.0,0.0,0.0,0.0,300.0,24.0,3.0,1485.0,12.2,308750.4
252,120.0,0.0,0.0,0.0,300.0,30.0,3.0,1485.0,12.2,308750.4
253,38.0,0.0,0.0,0.0,300.0,21.0,6.0,1485.0,12.2,308750.4
254,70.0,0.0,0.0,0.0,300.0,24.0,7.0,1485.0,12.2,308750.4
255,150.0,0.0,0.0,0.0,300.0,30.0,5.0,1485.0,12.2,308750.4
256,150.0,0.0,0.0,0.0,500.0,30.0,9.0,1459.8,12.2,308750.4
257,37.9,0.0,0.0,0.0,300.0,30.0,6.0,1459.8,12.2,308750.4
258,30.0,20.0,0.0,0.0,300.0,21.0,5.0,1459.8,12.2,308750.4
259,90.0,0.0,0.0,0.0,400.0,30.0,4.0,1459.8,12.2,308750.4
260,0.0,90.0,0.0,0.0,300.0,30.0,3.0,1459.8,12.2,308750.4
261,70.0,0.0,0.0,0.0,300.0,21.0,3.0,1485.0,12.2,308750.4
262,60.0,40.0,0.0,0.0,300.0,23.0,4.0,1459.8,12.2,308750.4
263,37.9,0.0,0.0,0.0,500.0,21.0,9.0,1459.8,12.2,308750.4
264,120.0,0.0,0.0,0.0,300.0,27.0,8.0,1485.0,12.2,308750.4
265,0.0,200.0,0.0,0.0,300.0,24.0,4.0,1459.8,12.2,308750.4
266,90.0,0.0,0.0,0.0,300.0,27.0,9.0,1485.0,12.2,308750.4
267,60.0,40.0,0.0,0.0,300.0,23.0,6.0,1459.8,12.2,308750.4
268,37.9,0.0,0.0,0.0,300.0,21.0,4.0,1459.8,12.2,308750.4
269,0.0,200.0,0.0,0.0,300.0,30.0,9.0,1459.8,12.2,308750.4
270,90.0,0.0,0.0,0.0,300.0,27.0,7.0,1410.0,12.2,308750.4
271,90.0,0.0,0.0,0.0,300.0,30.0,3.0,1485.0,12.2,308750.4
272,60.0,40.0,0.0,0.0,300.0,23.0,8.0,1459.8,12.2,308750.4
273,0.0,124.0,0.0,0.0,300.0,30.0,9.0,1459.8,12.2,308750.4
274,0.0,150.0,0.0,0.0,300.0,27.0,8.0,1459.8,12.2,308750.4
275,20.0,80.0,0.0,0.0,300.0,23.0,4.0,1459.8,12.2,308750.4
276,150.0,0.0,0.0,0.0,300.0,21.0,8.0,1459.8,12.2,308750.4
277,120.0,0.0,0.0,0.0,300.0,27.0,6.0,1459.8,12.2,308750.4
